"","id","num.picture","task1","task2","task3","latitude","longitude","gender","educ","age"
"1","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",917,1,3,3,49.1669611039544,16.5756778317022,1,2,29
"2","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",454,0,3,3,49.2160514275799,16.6236226792188,1,2,29
"3","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",630,0,3,3,49.1731380611001,16.6320504406275,1,2,29
"4","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",798,0,3,3,49.1876435637559,16.5628585645437,1,2,29
"5","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",224,1,2,3,49.2186285375846,16.6092024445764,1,2,29
"6","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",712,0,3,3,49.2117515196699,16.5917539092464,1,2,29
"7","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",785,0,3,3,49.1810868124792,16.6558176213411,1,2,29
"8","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",547,0,3,3,49.1797698266592,16.5965244556696,1,2,29
"9","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",357,0,3,3,49.2177325459995,16.5807935361222,1,2,29
"10","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",98,1,3,3,49.220389493196,16.5590573160622,1,2,29
"11","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",1192,0,3,3,49.2150185232162,16.5896800161101,1,2,29
"12","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",952,0,3,3,49.1727683949036,16.5939345897413,1,2,29
"13","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",1045,0,2,3,49.2143581096111,16.5906312061861,1,2,29
"14","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",1205,1,3,3,49.1830836390911,16.5876013665081,1,2,29
"15","1564661163_endBrno36451c6b375626c4713ae15d99b4213a.csv",429,0,3,3,49.18944782166,16.6297999744185,1,2,29
"16","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",1226,1,2,2,49.1885701913221,16.6116696124178,1,2,27
"17","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",756,0,1,0,49.1911643306036,16.626129452981,1,2,27
"18","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",512,1,3,2,49.2075053016495,16.6592316266093,1,2,27
"19","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",917,1,4,2,49.1669611039544,16.5756778317022,1,2,27
"20","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",1098,1,3,1,49.1709686199105,16.5845230428206,1,2,27
"21","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",877,1,1,2,49.1733167230315,16.5947657165937,1,2,27
"22","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",536,0,2,4,49.2148902106548,16.6391534010785,1,2,27
"23","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",527,0,3,2,49.2008658061822,16.624112979821,1,2,27
"24","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",30,0,1,2,49.2081780820941,16.570982833538,1,2,27
"25","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",932,1,3,2,49.2110775610087,16.5985083441514,1,2,27
"26","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",973,1,4,2,49.1886293006646,16.5660789278906,1,2,27
"27","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",564,1,2,6,49.1895193943651,16.6192026431324,1,2,27
"28","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",387,1,4,2,49.1711337055284,16.6281299929516,1,2,27
"29","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",570,0,5,2,49.1918760380891,16.5944691548615,1,2,27
"30","1564662069_endBrno6a19d518c091b25a39f8fe826d23ed52.csv",629,0,3,2,49.1957215504683,16.6030281304598,1,2,27
"31","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",469,0,1,2,49.2109201109931,16.6581607711471,0,2,21
"32","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",143,0,5,2,49.2257798049087,16.5913768751351,0,2,21
"33","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",102,1,5,4,49.1730888956646,16.6230753735725,0,2,21
"34","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",879,1,6,4,49.2167745915194,16.5637810320721,0,2,21
"35","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",243,1,3,1,49.2286295456336,16.600880638592,0,2,21
"36","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",1106,0,6,3,49.2159732559885,16.5865765912182,0,2,21
"37","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",1171,1,3,5,49.2268653940372,16.6536746131335,0,2,21
"38","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",308,1,1,4,49.1913706171256,16.6436086172012,0,2,21
"39","1564664831_endBrno5b7828f12dba007b8526a7c29022318d.csv",1214,1,4,3,49.2294536329171,16.634442173206,0,2,21
