"num.picture" "id" "task1" "task2" "task3" "date" "personID" "gender" "educ" "age" "clouds" "water" "trees_30" "trees_5" "bush" "shade" "experience"
"1" 1 "1565346156_endBrno10048.csv" 1 "1" "4" "1565346156" "10048" 1 2 40 0 0 1 1 1 1 0
"2" 1 "1565422303_endBrno10185.csv" 1 "3" "4" "1565422303" "10185" 0 2 33 0 0 1 1 1 1 0
"3" 1 "1565377222_endBrnof143293ab2c94e3e42690ec962896c30.csv" 0 "3" "4" "1565377222" "f143293ab2c94e3e42690ec962896c30" 0 2 51 0 0 1 1 1 1 1
"4" 1 "1565392479_endBrno10184.csv" 1 "3" "3" "1565392479" "10184" 0 3 26 0 0 1 1 1 1 0
"5" 1 "1565023048_endBrnoeff82e2b6cc387907012d41fd88390ee.csv" 0 "2" "4" "1565023048" "eff82e2b6cc387907012d41fd88390ee" 1 2 31 0 0 1 1 1 1 1
"6" 1 "1565546564_endBrnoc92716bce26911336badbae8d509bee6.csv" 1 "4" "3" "1565546564" "c92716bce26911336badbae8d509bee6" 0 2 45 0 0 1 1 1 1 0
"7" 1 "1565378569_endBrno5ea2bf04e5f05c0722bf2682c1290b5f.csv" 0 "4" "5" "1565378569" "5ea2bf04e5f05c0722bf2682c1290b5f" 1 2 25 0 0 1 1 1 1 1
"8" 2 "1565420684_endBrnoa8710d447ff75556bec0262dbf1e9b35.csv" 1 "5" "3" "1565420684" "a8710d447ff75556bec0262dbf1e9b35" 1 3 26 0 0 1 0 1 0 0
"9" 2 "1565366718_endBrno10003.csv" 0 "5" "1" "1565366718" "10003" 1 1 26 0 0 1 0 1 0 1
"10" 2 "1565698572_endBrno10469.csv" 1 "5" "4" "1565698572" "10469" 1 2 36 0 0 1 0 1 0 0
"11" 2 "1564997622_endBrno3ccf57841604797a3502c555a6dceb33.csv" 1 "4" "2" "1564997622" "3ccf57841604797a3502c555a6dceb33" 1 3 33 0 0 1 0 1 0 0
"12" 2 "1565382726_endBrno10168.csv" 1 "4" "2" "1565382726" "10168" 0 2 60 0 0 1 0 1 0 0
"13" 2 "1565417906_endBrno8eb3af4caf3a58d3a7ffc7f6e21ce0f2.csv" 1 "3" "2" "1565417906" "8eb3af4caf3a58d3a7ffc7f6e21ce0f2" 1 2 27 0 0 1 0 1 0 0
"14" 2 "1566913904_endBrno937947282e6ec3400b77fcb9f938a7be.csv" 1 "6" "1" "1566913904" "937947282e6ec3400b77fcb9f938a7be" 1 2 24 0 0 1 0 1 0 0
"15" 2 "1564999295_endBrno4dc8e602704acc94216cb5a9bcc0572c.csv" 1 "5" "1" "1564999295" "4dc8e602704acc94216cb5a9bcc0572c" 1 3 48 0 0 1 0 1 0 0
"16" 2 "1565343508_endBrno10126.csv" 1 "3" "3" "1565343508" "10126" 0 3 44 0 0 1 0 1 0 0
"17" 2 "1565416221_endBrno72d324bb62dbba798e02f4745496ac21.csv" 1 "5" "1" "1565416221" "72d324bb62dbba798e02f4745496ac21" 1 1 48 0 0 1 0 1 0 0
"18" 2 "1564763830_endBrno2818c537ec6063387b2c9c78d8247fac.csv" 1 "5" "2" "1564763830" "2818c537ec6063387b2c9c78d8247fac" 1 2 22 0 0 1 0 1 0 0
"19" 3 "1566124209_endBrno10292.csv" 1 "2" "3" "1566124209" "10292" 1 3 25 0 0 1 0 1 1 0
"20" 3 "1565620851_endBrno10474.csv" 1 "5" "0" "1565620851" "10474" 1 3 24 0 0 1 0 1 1 0
"21" 3 "1565544750_endBrno20bd907fd111e86fc887822bab68835d.csv" 1 "5" "2" "1565544750" "20bd907fd111e86fc887822bab68835d" 1 2 37 0 0 1 0 1 1 0
"22" 3 "1565630030_endBrno10260.csv" 1 "6" "2" "1565630030" "10260" 1 3 43 0 0 1 0 1 1 0
"23" 4 "1565436000_endBrno0e230622982dbccee4a9ab989610d004.csv" 1 "2" "3" "1565436000" "0e230622982dbccee4a9ab989610d004" 1 1 57 1 0 1 1 1 1 0
"24" 4 "1565343409_endBrno10098.csv" 1 "2" "4" "1565343409" "10098" 1 3 28 1 0 1 1 1 1 0
"25" 4 "1565698578_endBrno10148.csv" 1 "3" "3" "1565698578" "10148" 0 3 29 1 0 1 1 1 1 0
"26" 4 "1564673807_endBrnocd6eca81ff26fb77fef552448b9c6ebe.csv" 1 "5" "2" "1564673807" "cd6eca81ff26fb77fef552448b9c6ebe" 1 2 30 1 0 1 1 1 1 0
"27" 4 "1565001025_endBrnoef7529346850343c2f3799d517be37a1.csv" 1 "2" "3" "1565001025" "ef7529346850343c2f3799d517be37a1" 1 2 45 1 0 1 1 1 1 0
"28" 4 "1564676494_endBrno70063fb9713b1a293932d98b15c5aacc.csv" 1 "3" "3" "1564676494" "70063fb9713b1a293932d98b15c5aacc" 1 1 41 1 0 1 1 1 1 0
"29" 4 "1565174827_endBrno610b57549b0bb3530d6b4c994d0cd02c.csv" 1 "1" "3" "1565174827" "610b57549b0bb3530d6b4c994d0cd02c" 1 1 32 1 0 1 1 1 1 0
"30" 4 "1565797769_endBrno10198.csv" 1 "3" "3" "1565797769" "10198" 0 3 52 1 0 1 1 1 1 0
"31" 5 "1565201264_endBrnoc481d39b40b59eb82835a93645bd62e7.csv" 1 "6" "0" "1565201264" "c481d39b40b59eb82835a93645bd62e7" 0 2 36 0 0 1 1 1 0 0
"32" 5 "1565619234_endBrno10240.csv" 1 "2" "3" "1565619234" "10240" 1 2 26 0 0 1 1 1 0 0
"33" 5 "1564998052_endBrno1ebbc43c36eb57783b1bf1e0bff62dc1.csv" 1 "2" "3" "1564998052" "1ebbc43c36eb57783b1bf1e0bff62dc1" 1 3 27 0 0 1 1 1 0 0
"34" 5 "1565414674_endBrno3992ccb049418c1eced0623deebe45a2.csv" 1 "4" "3" "1565414674" "3992ccb049418c1eced0623deebe45a2" 0 2 65 0 0 1 1 1 0 0
"35" 5 "1564998344_endBrnoc196cba2b9a04f14422085778eeb5292.csv" 1 "3" "0" "1564998344" "c196cba2b9a04f14422085778eeb5292" 1 0 29 0 0 1 1 1 0 0
