"num.picture" "id" "task1" "task2" "task3" "date" "personID" "gender" "educ" "age" "clouds" "water" "trees_30" "trees_5" "bush" "shade" "experience"
"1" 2 "1565615269_endCB20089.csv" 1 "3" "3" "1565615269" "20089" 0 2 58 0 0 1 0 0 1 0
"2" 2 "1564814439_endCBa3cf67ff977100bab098bbe4a5ec33a0.csv" 1 "4" "3" "1564814439" "a3cf67ff977100bab098bbe4a5ec33a0" 1 0 42 0 0 1 0 0 1 0
"3" 2 "1565643417_endCB863d9b8b90c51edf10a4d466f5c4a305.csv" 1 "4" "2" "1565643417" "863d9b8b90c51edf10a4d466f5c4a305" 1 2 48 0 0 1 0 0 1 0
"4" 2 "1567001162_secondLastTrialendCB41597fd1-82e6-ab56-7b75-497242ce7d0d.csv" 1 "5" "3" "1567001162" "41597fd1-82e6-ab56-7b75-497242ce7d0d" 1 1 57 0 0 1 0 0 1 0
"5" 2 "1567011855_secondLastTrialendCB20b0faff-3116-2fe2-925b-cc9b4dd7fe38.csv" 1 "2" "3" "1567011855" "20b0faff-3116-2fe2-925b-cc9b4dd7fe38" 0 3 58 0 0 1 0 0 1 0
"6" 3 "1565458190_endCB20008.csv" 1 "5" "2" "1565458190" "20008" 1 3 28 0 0 1 0 0 1 0
"7" 3 "1565590905_endCB3ce06bc2f9f10c95d74ff742c7338b01.csv" 1 "5" "1" "1565590905" "3ce06bc2f9f10c95d74ff742c7338b01" 1 3 28 0 0 1 0 0 1 0
"8" 3 "1565871410_endCB20146.csv" 0 "3" "2" "1565871410" "20146" 0 1 29 0 0 1 0 0 1 1
"9" 3 "1565621221_endCBe69f5bf9f7c6c6dc4806c2c37138bead.csv" 1 "3" "4" "1565621221" "e69f5bf9f7c6c6dc4806c2c37138bead" 1 1 29 0 0 1 0 0 1 0
"10" 4 "1565529349_endCB2441bb648921391245e49e9c9bb1e4a6.csv" 1 "5" "0" "1565529349" "2441bb648921391245e49e9c9bb1e4a6" 1 1 47 0 0 1 1 1 0 0
"11" 4 "1565016572_endCB9ad799c7b0bdb5b1f835df4c12eecee6.csv" 1 "4" "0" "1565016572" "9ad799c7b0bdb5b1f835df4c12eecee6" 1 1 26 0 0 1 1 1 0 0
"12" 4 "1566998310_secondLastTrialendCB96ae55bf-2abe-8181-8c1b-6385de79e763.csv" 1 "4" "5" "1566998310" "96ae55bf-2abe-8181-8c1b-6385de79e763" 1 2 30 0 0 1 1 1 0 0
"13" 4 "1567002013_secondLastTrialendCB00399aaf-e1e8-4e87-1b0b-ac12523c1c61.csv" 1 "3" "2" "1567002013" "00399aaf-e1e8-4e87-1b0b-ac12523c1c61" 0 3 53 0 0 1 1 1 0 0
"14" 5 "1566936340_secondLastTrialendCBcf0d00f1-6789-382c-ad54-3626a26a6739.csv" 1 "4" "1" "1566936340" "cf0d00f1-6789-382c-ad54-3626a26a6739" 1 2 19 0 0 0 0 0 1 0
"15" 5 "1566997858_secondLastTrialendCB3a1ec953-6557-1dd7-3cf7-ff358c729a87.csv" 1 "3" "2" "1566997858" "3a1ec953-6557-1dd7-3cf7-ff358c729a87" 1 1 50 0 0 0 0 0 1 0
"16" 5 "1565346197_endCB20010.csv" 1 "5" "1" "1565346197" "20010" 1 3 32 0 0 0 0 0 1 0
"17" 5 "1565382426_endCB2b57bca6f75efe1c7918ba7ebe11a440.csv" 1 "6" "0" "1565382426" "2b57bca6f75efe1c7918ba7ebe11a440" 1 2 49 0 0 0 0 0 1 0
"18" 5 "1565165505_endCB9f24db4b97f6ab17ea7ab91458934dd3.csv" 1 "6" "1" "1565165505" "9f24db4b97f6ab17ea7ab91458934dd3" 1 3 47 0 0 0 0 0 1 0
"19" 6 "1566998310_secondLastTrialendCB96ae55bf-2abe-8181-8c1b-6385de79e763.csv" 1 "3" "2" "1566998310" "96ae55bf-2abe-8181-8c1b-6385de79e763" 1 2 30 0 0 0 0 1 0 0
"20" 6 "1566998670_secondLastTrialendCB42846986-fa22-beb6-a622-5faf1ee70349.csv" 1 "4" "5" "1566998670" "42846986-fa22-beb6-a622-5faf1ee70349" 1 2 37 0 0 0 0 1 0 0
"21" 6 "1566987714_secondLastTrialendCB20080.csv" 1 "5" "2" "1566987714" "20080" 1 3 31 0 0 0 0 1 0 0
"22" 6 "1566939860_secondLastTrialendCBdec17f2c-0419-47de-6189-49eaa02148fd.csv" 1 "4" "3" "1566939860" "dec17f2c-0419-47de-6189-49eaa02148fd" 1 2 69 0 0 0 0 1 0 0
"23" 6 "1564680057_endCB351fc54d987e0a14fd56d67a27df4341.csv" 1 "6" "2" "1564680057" "351fc54d987e0a14fd56d67a27df4341" 1 3 33 0 0 0 0 1 0 0
"24" 6 "1565686708_endCBdc477e483addbc8b22557567b61c8d5b.csv" 1 "4" "4" "1565686708" "dc477e483addbc8b22557567b61c8d5b" 1 3 22 0 0 0 0 1 0 0
"25" 6 "1565032562_endCBfb139d4d40cfc89c9d562b4db5ec71f3.csv" 1 "2" "0" "1565032562" "fb139d4d40cfc89c9d562b4db5ec71f3" 1 1 43 0 0 0 0 1 0 0
"26" 6 "1565379136_endCBf186eec43b6fb754bbed7e22585504bc.csv" 1 "6" "1" "1565379136" "f186eec43b6fb754bbed7e22585504bc" 1 2 18 0 0 0 0 1 0 0
"27" 6 "1565017806_endCBf0fe462719b3b791d9e1c31d15259af1.csv" 1 "5" "2" "1565017806" "f0fe462719b3b791d9e1c31d15259af1" 0 2 48 0 0 0 0 1 0 0
"28" 7 "1566935362_secondLastTrialendCB3cfe9e1a-ac5e-a697-5ebf-a8d5012bcfc7.csv" 1 "3" "2" "1566935362" "3cfe9e1a-ac5e-a697-5ebf-a8d5012bcfc7" 1 3 41 0 0 1 1 1 0 0
"29" 7 "1565278667_endCB6095ec4754db01b4d2b134633adcd276.csv" 1 "4" "3" "1565278667" "6095ec4754db01b4d2b134633adcd276" 0 2 53 0 0 1 1 1 0 0
"30" 7 "1565642793_endCB20139.csv" 1 "3" "4" "1565642793" "20139" 0 2 20 0 0 1 1 1 0 0
"31" 7 "1565024158_endCBabe624f33c6c13dd90e2d89bb70536d3.csv" 1 "0" "5" "1565024158" "abe624f33c6c13dd90e2d89bb70536d3" 1 1 21 0 0 1 1 1 0 0
"32" 7 "1565013459_endCB8abf833bbd813541cd120f83a1cb4b7e.csv" 0 "4" "1" "1565013459" "8abf833bbd813541cd120f83a1cb4b7e" 1 2 21 0 0 1 1 1 0 1
"33" 7 "1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv" 1 "5" "2" "1564573761" "0d7ce2a1a24b6c0359603a19918a6845" 1 3 53 0 0 1 1 1 0 0
"34" 7 "1565344926_endCB20013.csv" 1 "1" "4" "1565344926" "20013" 1 3 29 0 0 1 1 1 0 0
"35" 7 "1565066510_endCB7c0e11982d3b5914d84e97a113c9ffea.csv" 1 "2" "3" "1565066510" "7c0e11982d3b5914d84e97a113c9ffea" 0 1 46 0 0 1 1 1 0 0
"36" 7 "1566975129_secondLastTrialendCBd8c8727e-c648-4a90-68db-44e3ba88bea7.csv" 1 "4" "2" "1566975129" "d8c8727e-c648-4a90-68db-44e3ba88bea7" 1 2 44 0 0 1 1 1 0 0
"37" 8 "1565599731_endCB2c169aa2369bff1dc5466fb7c1415f94.csv" 1 "5" "3" "1565599731" "2c169aa2369bff1dc5466fb7c1415f94" 1 2 19 0 0 0 0 1 1 0
"38" 8 "1567003565_secondLastTrialendCB33f92495-0616-f353-db31-12d2797df852.csv" 1 "6" "0" "1567003565" "33f92495-0616-f353-db31-12d2797df852" 1 0 18 0 0 0 0 1 1 0
"39" 8 "1566977429_secondLastTrialendCB20130.csv" 1 "4" "4" "1566977429" "20130" 1 3 26 0 0 0 0 1 1 0
